mode,snr_db,successful,trials,success_rate
FT8,-25,0,24,0.0
FT8,-24,4,24,0.16666666666666666
FT8,-23,12,24,0.5
FT8,-22,23,24,0.9583333333333334
FT8,-21,24,24,1.0
WINK-S,-26,0,24,0.0
WINK-S,-25,3,24,0.125
WINK-S,-24,14,24,0.5833333333333334
WINK-S,-23,24,24,1.0
WINK-N,-21,0,24,0.0
WINK-N,-20,2,24,0.08333333333333333
WINK-N,-19,21,24,0.875
WINK-N,-18,24,24,1.0
WINK-F,-18,0,24,0.0
WINK-F,-17,6,24,0.25
WINK-F,-16,22,24,0.9166666666666666
WINK-F,-15,24,24,1.0
