candidate,snr_db,successful,trials,success_rate,coded_bps,occupied_hz,channel
WINK-F,-14.0,22,24,0.9166666666666666,45.0,240,"two-path, delay=2 ms, 2nd path -3.0 dB"
WINK-F,-12.0,24,24,1.0,45.0,240,"two-path, delay=2 ms, 2nd path -3.0 dB"
WINK-F,-10.0,24,24,1.0,45.0,240,"two-path, delay=2 ms, 2nd path -3.0 dB"
WINK-F,-8.0,24,24,1.0,45.0,240,"two-path, delay=2 ms, 2nd path -3.0 dB"
