margin_db,delivered,trials,delivery_rate,switches
1.0,30,48,0.625,12
2.0,33,48,0.6875,5
3.0,32,48,0.6666666666666666,7
4.0,35,48,0.7291666666666666,4
5.0,34,48,0.7083333333333334,2
