candidate,snr_db,successful,trials,success_rate,coded_bps,occupied_hz,channel
WINK-N,-18.0,9,24,0.375,22.5,120,"rayleigh flat, fd=1.0 Hz"
WINK-N,-16.0,19,24,0.7916666666666666,22.5,120,"rayleigh flat, fd=1.0 Hz"
WINK-N,-14.0,24,24,1.0,22.5,120,"rayleigh flat, fd=1.0 Hz"
WINK-N,-12.0,24,24,1.0,22.5,120,"rayleigh flat, fd=1.0 Hz"
