candidate,snr_db,successful,trials,success_rate,coded_bps,occupied_hz,channel
WINK-F,-16.0,0,24,0.0,45.0,240,"rayleigh flat, fd=1.0 Hz"
WINK-F,-14.0,15,24,0.625,45.0,240,"rayleigh flat, fd=1.0 Hz"
WINK-F,-12.0,22,24,0.9166666666666666,45.0,240,"rayleigh flat, fd=1.0 Hz"
WINK-F,-10.0,24,24,1.0,45.0,240,"rayleigh flat, fd=1.0 Hz"
